,country,name,symbol,issuer,isin,asset_class,currency,underlying
1862,india,Uti Gilt Fund Pf Plan Dividend Payout,0P00005WKC,UTI Asset Management Company Ltd,INF789F01PR0,bond,INR,
1863,india,Dsp Strategic Bond Fund Direct Plan Daily Dividend Reinvestment,0P0000XW2O,DSP BlackRock Invmt Managers Pvt. Ltd.,,bond,INR,
1864,india,Dsp Strategic Bond Fund Regular Plan Dividend Payout,0P00009MXZ,DSP BlackRock Invmt Managers Pvt. Ltd.,INF740K01GO9,bond,INR,
1865,india,Dsp Strategic Bond Fund Regular Plan Daily Dividend Reinvestment,0P0000JXFH,DSP BlackRock Invmt Managers Pvt. Ltd.,,bond,INR,
1866,india,Dhfl Pramerica Banking And Psu Debt Fund Direct Plan Weekly Dividend Payout,0P000124IR,DHFL Pramerica Asset Managers Private Limited,INF223J01VZ3,bond,INR,
1867,india,Aditya Birla Sun Life Corporate Bond Fund Growth Direct Plan,0P0000XVXX,Aditya Birla Sun Life AMC Ltd,INF209K01S38,bond,INR,
1868,india,Aditya Birla Sun Life Corporate Bond Fund Dividend Payout Regular Plan,0P0000ZRGD,Aditya Birla Sun Life AMC Ltd,INF209KA1KS2,bond,INR,
1869,india,Aditya Birla Sun Life Corporate Bond Fund Monthly Dividend Payout Direct Plan,0P0000XVXY,Aditya Birla Sun Life AMC Ltd,INF209K01N90,bond,INR,
1870,india,Aditya Birla Sun Life Corporate Bond Fund Discipline Advantage Plan,0P0000JWV2,Aditya Birla Sun Life AMC Ltd,INF209K01KK5,bond,INR,
1871,india,Aditya Birla Sun Life Corporate Bond Fund Dividend Payout Direct Plan,0P0000ZO13,Aditya Birla Sun Life AMC Ltd,INF209KA1KT0,bond,INR,
1872,india,Idfc Corporate Bond Fund Direct Plan Quarterly Dividend Payout,0P00017TOY,IDFC Asset Management Company Limited,INF194KA1S76,bond,INR,
1873,india,Idfc Corporate Bond Fund Regular Plan Growth,0P00017AYT,IDFC Asset Management Company Limited,INF194KA1L81,bond,INR,
1874,india,Idfc Corporate Bond Fund Direct Plan Growth,0P00017AYV,IDFC Asset Management Company Limited,INF194KA1M23,bond,INR,
